"Date","Rating","Text"
"7/7/2018","1 star ","I got a paper in my hotel room today and thought to try it out. The lady on the phone wasn't very polite and very quick to talk, like she wanted off the call as soon as possible. That raised a red flag right away. Came on here to check it out and found out why. I quickly cancelled my order, again to a quick ""Okay bye"". Not happy about this place at all and that was just from the phone call"
"3/8/2018","5 star ","First time trying this place & it was bomb. Pizza has this buttery taste I'm not sure if it's the bread or the cheese but it makes it so good. Took about 20 mins and only costed $5 for a large pepperoni pizza! If your in the neighborhood you should definitely try it. The girl that answer the phone doesn't seem friendly but other than that, it was good!! Definitely be going back for more!"
"7/20/2019","1 star ","This place is terrible. No joke DON'T GO HERE! We ordered our pizza at 9:30pm and called one and half a hour later to see where our pizza was and they said it was in delivery. They were very rude too. We ended up waiting 2 hours and when they came we didn't even take the pizza. We told them about the complaint and the deliverer was very rude. We found the flyers under our hotel door and 100% should have read reviews before buying. Literally the only way they are still in business is my putting flyers under hotel room doors. TERRIBLE!!!"
"1/13/2018","1 star ","HORRIBLE SERVICE, HORRIBLE FOOD on 01/12/2018 we ordered for delivery to our hotel. I  requested for my total i was placed on hild then hung up on. I called right back and I was told 23.62 when delivery driver showed up total was 28.98. I questioned the delivery driver he said let me call the store my phone is in the car he walked outside and he drove off. I called the restaurant the lady answered the phone was very rude and hung up on me. This is HORRIBLE service and the food is HORRIBLE as well all the food is cold!!"
"5/5/2018","1 star ","This has to be the WORST customer service I have ever experienced. The lady working the delivery phone line hung up on us multiple times for no reason and had the biggest attitude problem. After hanging up on me for the 3rd time, once I called back, she claimed I was the one hanging up even though I clearly wasn't. After that, she copped the most attitude about how she's ""been ready"" for the card number after she hung up when I took more than a minute to find my payment card. The way I was treated by the lady working deliveries was horrible and she was so rude to me for absolutely no reason. This lady needs to be fired for how incredibly rude she was to a customer for no reason!!!!!"
"12/19/2017","1 star ","0 stars! Just found out this place is a scam the cops are looking for them and they change their location and name when ever the cops get close. Took our money with no food in return. Talked to the hotel we stayed at and they said they have children running through the halls throwing flier out so the adults don't get caught. What a waste of society."
"12/17/2017","1 star ","Thieft of service!! This is the worst place ever. Had a flier in our hotel room saying they deliver till 3am. Called at 1:15am they said I'm busy hold on and hung up. I called 3 more times and every time it was the same thing. Finally they take my order at 1:20 am. I waited and waited and then realized it's 3:18 am and I still don't have my pizza. Oh and my card was charged as soon as I gave them the number. I call back and the lady says we're closed in which I told her i haven't received my order, doesn't ask for any info just says it's on the way. So I asked if it's coming to the hotel and gave them the address and before I could finish she said ya and hung up. Well no food came and my card is charged so we drove to there business at 11:30 am to find out why I was charged for something I didn't get. Well there closed so we drive back home, which is not in  San Antonio and wait to call when they open. Well time got away from me and my husband called at 8pm and says he needs to speak to a manager. The girl on the phone says she is and when my husband starts explaining she starts cussing at him and saying I didn't steal your f*ing money and then yelling at another worker ""I don't know what hos f*ing problem is I can't deal with this f*ing shit"". So then a guy gets on the phone, who isn't much better. They had our wrong phone number and wrong address and just continued to lie about everything and they said they didn't charge us well it's on my card so ya you did. It ended with we'll let our manager know and he'll contact you. I have a feeling that I'm not getting my money back from this crooked company"
"6/8/2019","1 star ","Found menus in hotel room, big mistake not checking yelp. No idea how they stay in business!   Ordered at 9:40pm, was told 45-1hr. Called at 11pm told it was out on delivery.  Called again at 11:35pm asked about pizza, put on hold for 6 min, called back asked again, guy hung up on me, called back and was told I guess I don't want it and he hung up on me again.  11:50 call from front desk pizza was here.  Cold and nasty, tried to call back next day no answer."
"11/16/2017","1 star ","No stars if allowed Chicken fettuccine was bland. Fried mushrooms came with No dipping sauce and tasted like they were fried in old grease,did not come with horseradish sauce  The bread in the picture is supposed to be cheese sticks.  Ordered strawberry cheesecake came with no strawberry. Waste of $39.00 . (Delivered right at an hour)"
"5/25/2019","1 star ","Ordered fried pickles and mozzarella sticks on Uber eats. IT IS LITERALLY MICROWAVES FROZEN FOOD YOU CAN GET AT WALMART!!!! And it was cold after a 10 min drive. And Who eats friend pickles with pizza sauce EW I couldn't even eat it"
"12/25/2016","4 star ","The calzones i order are always on point. The subs are better than anything you can get at subway and the pizza ruined every pizza chain's pizza around for me........Good food to be had at this place"
"1/26/2019","1 star ","These people sneak into hotels, even when they've been asked not to, they lie to the people at the front desk and then insinuate themselves into the vacation of others, slipping coupons under the doors or knocking or handing them out and then when accosted by Hotel staff they run. People who would practice those sort of business ethics, why would you ever trust them with your food let alone your credit card information?"
"10/27/2017","1 star ","Just ordered through UberEats. They did not remember the ranch or extra ranch I ordered for my wings, which were all fat with barely any chicken and tasted like garbage. Did not include the extra garlic bread I paid for. Frozen meatball in spaghetti. How is this place open?? Definitely should have checked the reviews before ordering."
"7/30/2018","1 star ","Do not order from this place. They took my credit card info and never delivered anything. When I called them they were full of excuses then eventually said that no one answered the door, which was total bull crap. This place will definitely rip you off. We went to my son's graduation from Air Force boot camp and this place takes advantage of out-of-towners."
"6/3/2017","1 star ","We ordered a gyro um not even close it had very little meat , sauce, and was more on pita bread or something of that sort. The pizza was horrible. The bottom was burnt and very little sauce on pizza plus there was pockets of air in pizza. It was definitely not worth the $32 we spent. Never again will we order from here."
"6/23/2018","1 star ","Wish I would have canceled after the horrible customer service. Stuck it out, pizza was cold, not good. Not sure how they are still in business."
"6/29/2018","1 star ","This should absolutely be zero stars. Took over an hour and a half for delivery. Pizza was cold, of course. And a $12.99 pizza ended up costing $24.80. Pizza didn't have much flavor and probably the worst part was the random chunks of onions (I hate onions and could smell them as soon as I opened the box). I will never order from here again."
"8/19/2017","1 star ","These guys hire kids to trespass downtown hotels and deliver flyers under doors instead of giving them to front desk staff to try their food and recommend their business. Our guest sometimes get sick from the food they ordered from 24th st Pizzeria and other businesses like them, the guest complaint to the hotel staff of food poisoning. We direct our guest to the San Antonio health department for complaints on this and other pizzeria restaurants who trespass our hotels. The Slice Pizzeria, Angelo's Pizzeria, Big Tony's Pizzeria, Chicago Pizzeria. Be aware of price change, delivery fees, Scammers. DO NOT GIVE THEM YOUR CREDIT CARD!"
"4/19/2017","1 star ","The. Worst. Customer service.Delivering pizza is not rocket science. But since this isn't my first time ordering food delivery, I understand that places get busy, people make mistakes, etc... when restaurants don't acknowledge they've given BAD service, for whatever reason, or at least try to make it better? They deserve to go out of business, and most likely will eventually. I just hope that the management here moves into an industry other than food service because clearly they don't understand the concept of CUSTOMER SERVICE."
"10/28/2018","1 star ","Ok... I'm in town for an Airforce graduation and my hotel room had a menu slide under my door pretty much everyday. We decided to order pizza so I called this business and the female that asked the phone had a negative attitude and seemed like she totally hated her job. When my order was complete (paid w/ credit card) and asked for paper plates, napkins, crushed peppers, and parmesan because it's take out.... then the negative female says they charge for these items.... I said really... but we are staying in a hotel room and need plates & napkins to eat... she said yes they charge for all togo items, so I said please cancel my order I will call another Pizza restaurant for take out. I let the hotel know about my experience and they apologized, then recommended 2 other local pizza joints. I should have checked yelp because it looks like every yelp post is a 1 Star negative experience! My first negative Dining experience in San Antonio ever! DO NOT waste your time with this place!  They ran my credit card anyway!!"
"4/2/2018","1 star ","I ordered this through Uber Eats.  Pro:  did show up in about 30-40 minutes, as promised.  Cons:  Food.  I ordered a ham and turkey sandwich, was described as having mayo, lettuce, and tomatoes.  I asked to add onion.  It was burned pizza dough bread with ham, turkey, and raw onion (no mayo, lettuce, tomatoes).  Also ordered a pizza with veggies.  Somehow, the pizza dough was burned/black, but soggy in the middle, and the toppings were completely raw - including the tomatoes - which were halved cherry tomatoes thrown on top."
"6/4/2017","1 star ","My daughter and son in law picked up a pizza on Friday evening 06/02/2017 from Pizzeria 901 NW 24th St.78207, she and my youngest daughter eat the pizza from this place, continued to eat Saturday afternoon, by Saturday later afternoon they both had vomiting, stomach pains, diarrhea all Saturday evening, and Sunday they still don't feel well, called to let them know that it was purchased Friday evening and my daughters are sick, the girl that answered handed the phone to another girl I let her know of the food poisoning my daughters have, she then told me, how do I know it was from them, that was the place the bought it that evening, she then said I threatened them..We do not recommend this place to anyone at all.."
"9/8/2018","1 star ","A flyer for this place was in our hotel room and we wanted food pretty late... we ordered the pizza pasta combo and they said it would take 30 minutes to an hour to be delivered. It took 2 hours and the food was completely cold when it got here and it tasted worse than the frozen pizza you buy at the store. Complete waste of money, it was hilariously bad and the people answering the phones were rude."
"10/27/2017","1 star ","i ordered two med 4 topping pizzas and they only sent me one. when i called to ask what happened one of the most rudest people ive ever talked to answered the phone. when i told her what happened she seemed bothered that i was even calling about not getting 1/2 my order. as i was talking she must of gotten bored cause  hung up on me when i called back she said she didnt hang up on me and she had just put me on ""hold"". after telling her i no longer wanted another pizza sent out because i was afraid of what she might do to it after being so awful on the phone i asked for my money back and she hung up again...and ya she stated she was the manager and she was the only person i could  deal with. AWFUL WITH PEOPLE"
"11/21/2017","1 star ","I ordered a medium pizza from 24th St Pizzeria today at 2:05 PM and at 3:55 PM I canceled the order because I still hadn't received it. I had called to check on the order at 3:20 and was told that it would be arriving in a few minutes and it never did arrive. Will never order from them again!"
"8/6/2018","1 star ","Terrible service and delivery. Continuously hung up on when asking where our order was after an hour and a half. Food was cold when it finally showed up over 2 hours after ordering. Never again, I'd put 0 stars if possible. My suggestion to them is to shut down."
"5/26/2018","1 star ","Horrible food, terrible customer service and dishonest staff. Tried to sneak in extra charges and could not add 4 numbers together. Please do not order from here or trust any of their food (especially if you have little ones)."
"6/11/2017","1 star ","Wish I had checked the reviews! Ordered delivery through GrubHub to our hotel, which had a flier for restaurant in room. Pizza/wing combo, plain spaghetti for child, total with tip of $38. Order took nearly 2 hours, arrived cold, missing wings and with spaghetti slathered in sauce and meatballs. Pizza (pepperoni/mushrooms) wasn't as good as most frozen varieties, sugary sauce and sparse toppings. Order-taker said she would have to ""call manager"" to see if he wanted to send out missing wings and correct spaghetti, and they didn't do refunds. She didn't call me back. GrubHub got them to promise to send new food, but it never came and order-taker hung up when I phoned back. Avoid this place like the plague. (Fortunately GrubHub made good on what I had paid.)"
"3/31/2017","1 star ","I ordered pizza delivery and it took 2 hours to arrive and they didn't even apologize for it.  I'd ordered extra-large and got a large.  And the pizza itself was mediocre -- limp doughy slices that fell apart, not crispy or crunchy at all."
"8/26/2018","1 star ","Horrible customer service to start off. Lady taking my order was very rude and rushed me off the phone. I had never ate there and was trying to get ideas of what to get to feed a big group. I ended up ordering 2lg pizza, 16wings, and mozzarella sticks. Pizzas were cold and had flour all over the pizza. Wings had ranch spilled ALL over them, the containers were open inside the box. Mozzarella sticks were cold and soggy. I called back and asked to talk to a manager and the lady said there wasn't one there. Very disappointing seeing as we rarely go to SA and got poor quality food for the money we spent. They don't even deserve 1 star."
"8/5/2018","1 star ","Ordered a pizza and a Coke, took them 1 hour and 45 minutes to deliver on a Sunday night. The pizza was cold. We called them back to complained and they hung up on us the first the the second call they just pushed to voice mail."
"7/29/2018","1 star ","Trash trash trash. Worst restaurant ever. Please close this place down. The food is poison and the staff is extremely disrespectful. I do not understand how this establishment is still in business."
"7/28/2018","1 star ","They over charged by over $20. The order was wrong. I only got 15 wings instead of 24, both deserts were wrong, I ordered the pizza thin crust, after delivery when I called they said they don't do thin crust. The girl on the phone just argued with me and didn't admit they made a mistake and offered no solution. I guess now I have to call my credit card and dispute the charges. One star is way to many."
"6/6/2017","1 star ","When I called I was told one hour ten minutes.  After one hour ten minutes no pizza.  I called they said it was leaving in fifteen minutes.  Arrived one hour thirty minutes.  Driver didn't have plates forks or napkins as I was staying in a hotel this would have been very helpful.  Called the business the girl who answered could care less about our complaint.  If I could give zero stars I would."
"1/19/2017","1 star ","Took 2 hours for them to deliver our pizza when we were quoted on an hour. Food was lukewarm and you could tell the pizza had been sitting for a while, and was not very good either. My boyfriend ordered the Alfredo and said it was disgusting. After a long day of traveling from Iowa and waiting for our food for two hours he did not even finish it. Crappy food for a long long wait. Listen to the yelp reviews and take your business elsewhere."
"10/21/2018","1 star ","horrible pizza, half of it was stuck to the box, it was delivered cold. They put fliers under the door at the Holiday Inn and took an hour to deliver. the worst pizza I have ever had in my life! Thought it might be good because they slid a menu under my door at the hotel, HORRIBLE!  I am going to talk with the hotel management and tell them never to let them put menus under the door because they will drag the hotels reputation down"
"10/4/2017","1 star ","Rude Rude Rude--I used Ubereats I did not get my Salad I ordered Strawberry Cheesecake they gave me Chocolate I called I spoke with MIKE supposedly he's in charge refusing to give me a refund let alone ask me my name! I will call back tomorrow if I get no where I will file in small claims court for mainly the principle then I will ask for wages lost to attend court I work in Surgery all because MIKE refused to help me"
"6/22/2018","1 star ","Order at your own risk. Horrible, horrible, horrible. If I could put negative 10 I would. Took over an hour to deliver. When I called to ask for an ETA, the lady who answered sounded like she was drunk. The driver was nice but the food was horrible. Made all of us sick. Please be smarter than me and check yelp before you order."
"6/3/2018","1 star ","This place is horrible it took over an hour for our delivery and food was gross and undercooked!! Wouldn't eat it, even if I was going to the chair!!!!"
"5/18/2018","1 star ","Should have read reviews. Paid for a 3 topping pizza and a soda. Got the soda and a 1 topping pizza. Called to ask them to send me the correct pizza that I paid for, and never got it.  Called the next night, waited for two hours for them to bring the pizza and never got it. Called to ask where it was and they claim they didn't know what I was talking about. Never again."
"5/18/2018","1 star ","I ordered a pizza and after 3 hours my food was cold and the driver acted like it was my fault.  I rejected the pizza and called 24th Street Pizzeria back to get a refund. No refund was issued. The workers were very rude and disrespectful with me. This is the worse customer service I've ever encountered.  I will report this restaurant to the Better Business Bureau very soon.  I would strongly consider spending money elsewhere."
"5/3/2018","1 star ","The worker who answered my phone call was rude. Called to place an order for delivery & she said the wait was an hour & a half (ok I understand that, they are probably busy) so we decided to order & im starting to tell her what I want, I haven't even said the first 3 words & she interrupts me saying she needs my address first... ok whatever I give her the address & I have to repeat it at least 3 times. So I tell her what I want & get a wing combo with fries she says there's no fries so I pause for a second expecting her to say ""well I can substitute the fries with...."" the silence begins to become awkward & i decide to ask ""well is there anyway I can substitute the fries with some mozzarella sticks?"" & she says ""no"" that's it, nothing else. I understand if you guys can't substitute but at least say something along the lines of ""oh sorry unfortunately I can not substitute"" I ended up just hanging up on her & we got something else to eat."
"5/3/2018","1 star ","Never order pizza from this place. If I could give 0 stars I would. They messed up my order which was an honest mistake but their response to my request for a new pizza was beyond unprofessional. The young women taking my order was rude, argumentative, and lacked anything resembling customer service skills. When I finally just asked for a refund they told me they couldn't give one because the manager wasn't there until tomorrow. The women also refused to give me her name and only knew her manager as ""Mike"". I called the next day to speak with the manager and kept getting a voice mail that was full."
"12/17/2017","1 star ","We stayed at the Hotel Valencia & received a flyer for pizza delivery until 3am. We called at 2am to order pizza delivered to the hotel & the rude girl with no customer service & abruptly told us they were closed & hung up on us. If you were closed why answer the phone???"
"6/3/2018","1 star ","Found a flyer in my hotel.  Called and placed an order.  They said would take about an hour.  Hour and a half later I called to find out status of order.  Female answered, said was on the way and hung up on me.  I called back, male answered, I advised of female's rude service and hanging up on me, he said ok and placed me on hold, then line hung up.  Food arrived after two hours.  Spaghetti tasted like it came out of a can, and pizza was garbage.  ***Do not order food from this restaurant.  RUDE service and HORRIBLE food."
"5/22/2018","1 star ","Terrible service.  Promised to deliver to our hotel within one hour.  Took an hour & 1/2. Pizza was cold. We told the delivery person that we were supposed to receive it 30 minutes earlier. He stated: ""don't always believe what you hear!"""
"1/16/2018","1 star ","Ordered pizza. After two hours no pizza, I called and canceled.  Never received pizza but still charged credit card.  Have called credit card company to have taken off.  Would give zero if I could."
"12/16/2017","1 star ","Ordered for delivery. All wrong. Forgot plates we ordered. Forgot 2 liter coke we ordered. Got the wrong dessert. Under cooked pizza. An hr and a half plus wait time for delivery. Cold food. Called to ask for order to be corrected or at least speak to a manager. Was informed that managers do not work on weekends and manager would not be informed until Monday. (Ordered on a Saturday evening) Bad service, horrible food cold food. Stayed at the Embassy suites. Do not order from this place they will not fix your order if it is wrong. They will not offer even and apology in the least."
"5/28/2017","5 star ","The pizza is really delicious and the owner is very kind and is the best pizza specialty shop. The meat ball spaghetti is also really delicious."
"11/26/2017","1 star ","This place is the worst I have ever visited in my life. My girlfriend and I were at sharton hotel, she found flyer around our room's doorway; she ordered pizza from this place. We got wrong order (very cold as well); we called their number again to let them know that, we got a wrong order and requested them to just give us crushed pepper ( which was in order when she placed the order). I admit we called the phone several times after each eta and we had been told that they will deliver it in 10 mins. We waited over 30 to 40 mins, nobody shows up; called again and lady at the pizzare told us that we shouldn't be calling personal number but that was the number they were using to take the orders. So we went in person to store ( another mistake in series). Those were the bunch of criminals we were dealing with, they started speaking very loud, cursing, menacing and speaking racis words toward  us and denied to give us correct order. We still stand our ground and asked to give us our order. They did when another customer that also there who witnessed the abuse interven in our favor but they were very abusive while doing so. In fact very very abusive. I feel pity for those people (like us) who order the food from these criminals, without knowing and reading reviews. In addition to this, the guy told us reviews doesn't affect him. We told our hotel, not to allow these kind of business run buy  criminals to float their leaflet in hotel rooms"
"10/20/2017","1 star ","This is the first and the last time I will order from this place! I should've read the reviews before!!! What a mistake!! Horrible food, missing toppings and extra toppings that I did not order on my pizza. I called to make a complaint, and the person on the phone asked me: What? Are you kidding me???"
"12/16/2017","1 star ","Ordered food for delivery, the lady made me repeat myself multiple times because she didn't understand what i was ordering and seemed irritated that i called. Got my food an hour later, paid $40 for 8 wings, pickle chips, and 2 pieces of cheesecake. They brought the wrong flavors of cheesecake and the wrong flavor of wings. Food was not good."
"10/2/2017","1 star ","Absolutely disgusting! Burnt! Chicken alfredo had no flavor or the chicken burnt hamburger bun for bread. Don't waste your time"
"4/15/2017","1 star ","Ordered a pizza that was supposed to be $23.99, when the order arrived an hour an a half later (they said 45 minutes or less) they had charged me $35. No detailed receipt or explanation. When I called back I was put on hold for nearly 10 minutes and then hung up on. Crappy food and worse business practices."
"4/15/2017","1 star ","DO NOT ORDER!!! It's a scam. They aren't supposed to be coming in to the hotels and put their menus under the door. We've been told by the hotel manager to call the cops when we see them. So that's exactly what I'm going to do. The delivery guy has to be some sort of criminal because he threatened me. Over some pizza... the manager is a piece of work too. Said good luck on getting your money back after the order was 2hrs late, 10dollars over charged AND the wrong order."
"6/22/2018","1 star ","TRAVELERS BEWARE!!! They advertised in the hotel I am staying in and I thought it would make for an easy night staying in. The calzone I ordered came as a meal deal with fries and a 12oz drink for $8.99 the driver shows up leaves my receipt in his car and shows me a cost of $18.xx hands me my food and leaves. I call them back to have the driver bring me my receipt, as this is a business trip and I have to account for all costs, they said they would send him right out, but two hours later I still haven't received it. When I called back to check on things I asked about the additional cost and the girl who answered the phone was very rude to me. I started to get angry about this (though i never yelled) she hang up on me. I feel lied to, I feel like I've been stolen from, and all this over a nasty burned calzone, under cooked greasy fries, and a warm can of Coke. Do not order from this place. Ever!"
"6/5/2018","1 star ","ordered threw uber eats not worth it chicken parm was just horrible. pizza had no flavor just disappointed"
"7/24/2017","1 star ","Why can I not give negative stars.  We placed an order at 11:30pm.  At 12:45 we called to see where the pizza was.  Were told it was on the way.  at 1:00am when we called they didn't know where the driver was they would not answer their phone or text.  at 1:30am they still did not know where our pizza was then they told us it was about 5 mins away.  And asked if we wanted to cancel order.  We told them no they had already charged our card and they were not willing to credit it.  Then 10 mins later it still was not there we called again they told us we canceled the order and the driver was headed back to the store.  We told them we had not and they were very rude.  They called the driver to come back.  We finally got our pizza about 2:15am.  If the driver did not have our pizzas in her hand we may have thought she was a prostitute.  She was not dressed appropriately to be going to strange peoples doors.  Oh and I almost forgot the free 2 liter of coke we were supposed to get did not make it there either.  The pizza was cold.  DON'T ORDER FROM HERE!!!!!!!!!!!!!!"
